LAHAYE Mathieu;;400m / SEM;Finale 2;1;47''61;1014;N2;SEM/83;09-mai
LANGERON Matthieu;;110m Haies (106) / SEM;Finale 2;5;18''63 (+0.0);489;D1;SEM/73;09-mai
LARISSE Anddy;;Disque (2.0 Kg) / SEM;Finale 1;9;31m65;518;R5;SEM/86;09-mai
MALELA Sogiros;;100m / SEM;Finale 2;4;11''19 (+1.6);866;IR2;SEM/87;09-mai
MANIC Gildas;;3000m Steeple (91) / SEM;Finale 1;14;10'50''72;629;R4;SEM/78;09-mai
MIJIC Stefan;;Javelot (800 G) / SEM;Finale 1;8;43m22;541;R3;SEM/75;09-mai
SOFFIATI Thibaud;;1 500m / SEM;Finale 1;3;4'02''79;822;IR2;SEM/85;09-mai
SONE EHAWA Quentin;;Poids (7 Kg) / SEM;Finale 1;2;14m48;789;N4;SEM/73;09-mai
WOLFF Stephane;;5 000m / SEM;Finale 1;13;16'49''63;538;R3;SEM/76;09-mai
AMBROS Jerome;;5 000m Marche / SEM;Finale 1;11;28'43''66;645;R6;VEM/68;09-mai
ANDRE Michel;;Marteau (7 Kg) / SEM;Finale 1;4;57m07;818;N4;VEM/70;09-mai
DE CARGOUET DE R Yann;;5 000m Marche / SEM;Finale 1;15;32'16''90;497;D4;VEM/51;09-mai
EL KADAOUI Samir;;3 000m / SEM;Finale 1;6;9'01''55;729;IR4;VEM/70;09-mai
LOTTIER Pascal;;Disque (2.0 Kg) / SEM;Finale 1;11;30m13;490;R6;VEM/58;09-mai
NOEL Philippe;;Perche / SEM;Finale 1;-;NC;0;VEM/61;09-mai
NOEL Philippe;;Poids (7 Kg) / SEM;Finale 1;15;9m86;514;R5;VEM/61;09-mai
